data_type,regime,Xdim,ydim,nsamples,learning_algo,lr,update_noise,label_noise,loss,active,active_units,log_tau,eig_sum,eig_max,eig_nonzero,link,sim_len
predictive,rich,4,9,14,SGD,0.1,0.016768329368110083,0.0,-3.402763989247729,0.06499282639885222,0.1835820895522388,-6.309611794749805,0.6730637318871928,0.6660749312396702,0.0898888888888889,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/939/\plot.html,9999999
smoothed,rich,18,5,5,SGD,0.1,0.0,0.22229964825261944,-2.394528502182966,0.42008928571428567,0.6818181818181818,-5.316176040084392,0.31330752137799134,0.4545484638296671,0.2305,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/940/\plot.html,9999999
smoothed,rich,17,6,17,SGD,0.1,0.0,0.42919342601287774,-1.7517418509071188,0.44787735849056604,0.7733333333333333,-5.606165434811436,0.2402359229505421,0.45214470867345175,0.310375,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/941/\plot.html,9999999
smoothed,lazy,4,4,9,SGD,0.1,0.0,0.49417133613238345,-1.7074440607903172,0.4601336302895323,0.9855072463768115,-20.103404695244716,0.16251343131666435,0.19413375757820725,0.36044444444444446,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/942/\plot.html,9999999
predictive,rich,11,0,7,SGD,0.1,0.07906043210907697,0.0,-1.2889700623781102,0.014970059880239521,0.014705882352941173,-5.074809412996416,0.22543380392548956,0.8132570542646349,0.008391304347826086,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/943/\plot.html,9999999
smoothed,lazy,16,13,12,SGD,0.1,0.0,0.10985411419875583,-2.9843345447537915,0.8639925373134327,0.984848484848485,-16.948120656959066,0.18205194987100942,0.2729722935936018,0.35086666666666666,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/944/\plot.html,9999999
random,rich,14,19,1,SGD,0.1,0.0,0.9102981779915218,-1.2459474978150846,0.5999999999999999,0.5999999999999999,-2.889845034551786,0.4027811744501824,0.9234871614419486,0.15302941176470589,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/945/\plot.html,9999999
smoothed,rich,14,10,6,SGD,0.1,0.0,0.20235896477251566,-2.450238461209675,0.6040955631399317,0.8026315789473686,-6.314911610967373,0.1509761438776947,0.4223307824057819,0.31692,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/946/\plot.html,9999999
smoothed,lazy,17,5,15,SGD,0.1,0.015264179671752334,0.0,-2.9099602024137123,0.2239280774550484,0.1696969696969697,-5.888585000077296,0.7803130245584763,1.0463561676536752,0.07004347826086957,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/947/\plot.html,9999999
random,rich,14,3,12,SGD,0.1,0.04941713361323833,0.0,-1.658911847015828,0.021390374331550797,0.03614457831325302,-5.3863783956329785,0.37730756101288937,0.6127209103438329,0.025111111111111112,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/948/\plot.html,9999999
random,lazy,4,15,4,SGD,0.1,0.0,0.517947467923121,-1.6413493340640837,0.5778894472361809,1.0,0.0,0.22939338287647193,0.5501729575050593,0.37055000000000005,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/949/\plot.html,9999999
smoothed,lazy,5,13,14,SGD,0.1,0.0,0.7196856730011519,-1.312872301769612,0.7520863309352518,0.8552631578947371,-6.180565769698328,0.1569107855028707,0.5934356732598257,0.37705263157894736,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/95/\plot.html,9999999
random,rich,16,7,16,SGD,0.1,0.0,0.11513953993264472,-2.9494213891789927,0.5368852459016394,0.9523809523809524,-5.158838302368953,0.2623249814333016,0.2443783363987705,0.42366666666666664,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/950/\plot.html,9999999
random,lazy,11,15,14,SGD,0.1,0.0,1.0,-1.074738524178368,0.4264663805436338,1.0,0.0,0.3423279301086029,0.39737810673006724,0.4145555555555556,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/952/\plot.html,9999999
smoothed,lazy,2,16,18,SGD,0.1,0.0,0.7196856730011519,-1.3680997972345983,0.6840579710144927,0.9384615384615386,-6.580845401182361,0.07165836665119718,0.25816084465093775,0.3794736842105263,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/953/\plot.html,9999999
